layout_number,room_length_ft,room_breadth_ft,room_area_sqft,room_setup_type,num_windows,door_wall,window_wall_1,window_wall_2,total_price_npr,bed,table,chair,wardrobe,bookshelf,bedsidetable,dresser,dustbin,mirror
21,14.25,13,185.25,budget,2,north,west,south,16800,sb,lt,pc,fw,bb,NA,NA,di,mr
22,13.75,9.5,130.62,standard,2,west,north,south,16800,db,lt,pc,hw,NA,NA,NA,di,NA
23,15,11.75,176.25,budget,2,north,east,west,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
24,10.5,10,105,standard,1,south,north,NA,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
25,13.75,11.5,158.12,standard,1,south,NA,north,18800,db,mt,pc,fw,bb,NA,NA,di,mr
26,13.5,10,135,budget,1,east,south,NA,18000,sb,mt,mc,fw,wb,NA,NA,di,NA
27,12.5,9.5,118.75,luxury,1,south,NA,west,45500,db,mt,ac,hw,wb,bt,dr,di,NA
28,11.25,11.25,126.56,budget,1,west,south,NA,14800,sb,lt,pc,fw,NA,NA,NA,di,NA
29,9.5,9,85.5,budget,1,east,NA,north,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
30,14.5,9.75,141.38,luxury,1,east,south,NA,23800,db,lt,pc,fw,bb,bt,NA,di,mr
31,9.25,9,83.25,standard,1,north,NA,east,16500,db,mt,mc,hw,NA,NA,NA,di,mr
32,9.5,9.5,90.25,luxury,1,east,north,NA,52000,db,lt,ac,ww,NA,NA,dr,di,NA
33,14,9.5,133,budget,1,north,NA,east,14300,sb,mt,pc,hw,bb,NA,NA,di,mr
34,14.75,11.75,173.31,standard,2,east,north,south,19000,db,mt,mc,fw,bb,NA,NA,di,mr
35,14.5,9.25,134.12,budget,1,north,NA,south,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
36,13,13,169,standard,2,west,east,north,17500,db,mt,mc,fw,NA,NA,NA,di,mr
37,14,9.25,129.5,standard,2,south,west,east,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
38,14,10.25,143.5,standard,1,north,east,NA,38000,sb,mt,ac,ww,wb,NA,NA,di,mr
39,12.5,11,137.5,luxury,2,south,west,north,43500,db,lt,ac,fw,NA,bt,dr,di,NA
40,14.5,9.25,134.12,budget,1,south,west,NA,20300,db,mt,pc,hw,wb,NA,NA,di,mr
41,12.75,9.25,117.94,standard,2,east,south,west,31000,db,lt,mc,ww,NA,NA,NA,di,NA
42,13.25,10,132.5,budget,2,south,west,east,17000,sb,lt,mc,hw,bb,NA,NA,di,mr
43,14,12,168,luxury,2,north,south,west,57500,kb,lt,ac,hw,wb,bt,dr,di,NA
44,14,11,154,budget,1,west,south,NA,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
45,14,10.25,143.5,budget,2,north,west,south,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
46,13,10.5,136.5,budget,1,south,east,NA,14800,sb,mt,pc,NA,wb,NA,NA,di,NA
47,9.5,9.5,90.25,budget,1,west,NA,east,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
48,10.25,9.25,94.81,standard,1,north,east,NA,12500,sb,lt,mc,NA,NA,NA,NA,di,NA
49,14.5,13.25,192.12,standard,2,north,east,south,33800,db,mt,pc,ww,wb,NA,NA,di,mr
50,14.25,10.75,153.19,standard,2,north,east,south,34300,db,lt,pc,ww,wb,NA,NA,di,NA
51,14,11.75,164.5,standard,2,east,north,west,30500,sb,lt,mc,ww,bb,NA,NA,di,mr
52,14.75,12.25,180.69,standard,2,south,north,east,18000,db,mt,mc,fw,bb,NA,NA,di,NA
53,13.25,12,159,standard,2,east,north,west,33000,sb,lt,mc,ww,wb,NA,NA,di,mr
54,11.5,11.25,129.38,budget,1,north,south,NA,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
55,13.25,9.25,122.56,standard,1,west,NA,north,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
56,14,13.5,189,standard,2,north,west,east,26800,sb,mt,pc,ww,NA,NA,NA,di,mr
57,10.25,9.25,94.81,standard,1,north,NA,west,19000,db,mt,mc,NA,wb,NA,NA,di,mr
58,12.25,12,147,budget,1,north,south,NA,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
59,11.75,9.75,114.56,budget,1,south,NA,east,15000,sb,mt,mc,fw,NA,NA,NA,di,mr
60,12.25,11.75,143.94,budget,1,south,east,NA,14000,sb,mt,mc,hw,NA,NA,NA,di,mr
61,15,12,180,budget,2,south,north,east,32000,db,mt,mc,ww,bb,NA,NA,di,mr
62,10.5,9.75,102.38,luxury,1,west,south,NA,36000,db,lt,mc,fw,bb,bt,NA,di,mr
63,14,13.25,185.5,luxury,2,south,west,north,51500,kb,mt,ac,ww,NA,bt,NA,di,mr
64,13.5,11.75,158.62,budget,1,west,north,NA,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
65,11,11,121,budget,2,north,east,west,18500,db,mt,mc,fw,bb,NA,NA,di,NA
66,14.5,10.25,148.62,budget,1,south,east,NA,12500,sb,mt,mc,NA,NA,NA,NA,di,mr
67,14.75,12,177,budget,2,south,west,north,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
68,14.5,11.75,170.38,standard,2,south,west,north,22800,db,lt,pc,fw,wb,NA,NA,di,mr
69,13.75,11,151.25,standard,1,north,NA,east,35500,sb,mt,ac,ww,bb,NA,NA,di,mr
70,14.75,10,147.5,luxury,2,south,north,east,23000,db,lt,mc,fw,NA,bt,NA,di,mr
71,15,13.75,206.25,budget,2,west,east,north,14800,sb,mt,pc,fw,bb,NA,NA,di,NA
72,11.25,10.25,115.31,budget,2,north,south,west,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
73,14.25,14.25,203.06,luxury,2,south,west,north,53500,kb,lt,ac,ww,NA,bt,NA,di,mr
74,10.75,9.75,104.81,budget,1,north,west,NA,18300,sb,mt,pc,fw,wb,NA,NA,di,mr
75,13.25,11.75,155.69,budget,2,east,north,west,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
76,15,9.25,138.75,budget,1,north,south,NA,18000,db,mt,mc,fw,NA,NA,NA,di,mr
77,10.5,9.75,102.38,standard,1,south,NA,north,19800,db,lt,pc,NA,wb,NA,NA,di,mr
78,14.75,12.5,184.38,standard,2,west,south,east,17500,db,lt,mc,hw,NA,NA,NA,di,NA
79,12.75,12,153,luxury,2,north,east,south,51000,kb,lt,ac,fw,NA,NA,dr,di,NA
80,12.25,10.75,131.69,budget,1,east,south,NA,15800,sb,mt,pc,fw,bb,NA,NA,di,mr
81,14,11,154,budget,1,west,NA,east,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
82,14.25,10.75,153.19,budget,2,west,east,south,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
83,14.5,12.75,184.88,standard,2,south,west,north,15000,db,mt,mc,NA,NA,NA,NA,di,mr
84,12,9.25,111,budget,2,west,south,north,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
85,11.25,9.75,109.69,budget,1,west,NA,north,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
86,14.25,12,171,standard,2,north,east,south,15000,sb,lt,mc,NA,bb,NA,NA,di,mr
87,10.75,9.75,104.81,budget,1,west,NA,north,15300,db,mt,pc,hw,NA,NA,NA,di,NA
88,10,9,90,standard,1,south,east,NA,14000,sb,mt,mc,fw,NA,NA,NA,di,NA
89,15,9.75,146.25,luxury,2,north,south,east,30300,db,lt,pc,NA,NA,bt,NA,di,NA
90,14.5,11.5,166.75,budget,2,east,west,north,16000,sb,lt,mc,hw,bb,NA,NA,di,NA
91,11.75,9.25,108.69,standard,1,east,NA,south,17800,db,lt,pc,fw,NA,NA,NA,di,NA
92,13.5,11.75,158.62,luxury,2,south,north,west,54800,db,mt,pc,ww,NA,NA,dr,di,NA
93,13,11.5,149.5,standard,1,north,NA,west,22500,db,lt,mc,hw,wb,NA,NA,di,mr
94,9.75,9.5,92.62,budget,1,north,south,NA,20300,db,mt,pc,hw,wb,NA,NA,di,mr
95,13.25,9.75,129.19,standard,2,south,east,north,17500,db,lt,mc,hw,NA,NA,NA,di,NA
96,15,14.75,221.25,standard,2,east,west,south,19500,db,lt,mc,fw,NA,NA,NA,di,mr
97,13.75,10.5,144.38,luxury,2,north,south,east,55500,db,lt,ac,hw,bb,bt,dr,di,NA
98,10.25,10,102.5,budget,1,south,east,NA,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
99,11.5,11.5,132.25,luxury,1,north,NA,west,71500,db,lt,ac,ww,wb,bt,dr,di,NA
100,14,12,168,budget,2,west,south,east,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
101,12.75,9.75,124.31,budget,1,west,NA,east,15300,sb,lt,pc,hw,bb,NA,NA,di,NA
102,15,15,225,budget,2,south,west,east,14000,sb,mt,mc,hw,NA,NA,NA,di,mr
103,12.5,12,150,standard,1,north,NA,west,30500,sb,mt,mc,ww,wb,NA,NA,di,NA
104,14.25,9.5,135.38,standard,1,west,north,NA,19500,db,lt,mc,fw,NA,NA,NA,di,mr
105,12.5,10.75,134.38,luxury,2,west,north,east,56000,db,lt,ac,ww,wb,NA,dr,di,NA
106,15,10.25,153.75,budget,1,north,east,NA,13500,sb,mt,mc,hw,NA,NA,NA,di,mr
107,12.25,10,122.5,budget,1,east,NA,north,18500,db,mt,mc,NA,wb,NA,NA,di,NA
108,12.5,9.5,118.75,budget,1,north,west,NA,17800,db,mt,pc,fw,bb,NA,NA,di,NA
109,12.75,9.5,121.12,luxury,2,south,north,west,27500,db,lt,ac,NA,NA,bt,NA,di,mr
110,13.25,9,119.25,standard,1,west,east,NA,37000,sb,lt,ac,ww,bb,NA,NA,di,mr
111,14.75,9.25,136.44,luxury,2,north,east,west,54500,db,lt,ac,fw,NA,bt,dr,di,NA
112,12.75,12.25,156.19,standard,2,south,north,east,18500,db,lt,mc,fw,NA,NA,NA,di,NA
113,15,14,210,luxury,2,west,north,east,58000,db,lt,ac,ww,bb,bt,dr,di,NA
114,12.5,11,137.5,standard,2,west,south,east,19300,db,mt,pc,hw,wb,NA,NA,di,NA
115,12.5,9.75,121.88,standard,1,south,NA,north,17300,db,mt,pc,fw,NA,NA,NA,di,mr
116,13.5,9.25,124.88,luxury,2,north,south,east,44000,db,lt,mc,fw,NA,NA,dr,di,NA
117,13.5,13,175.5,standard,2,south,east,west,33000,sb,lt,mc,ww,wb,NA,NA,di,mr
118,14.75,13,191.75,budget,2,east,south,west,14800,sb,lt,pc,fw,NA,NA,NA,di,NA
119,11.25,10.75,120.94,budget,1,north,NA,west,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
120,15,11.5,172.5,standard,2,north,south,east,20800,db,mt,pc,fw,wb,NA,NA,di,mr
121,13.75,11.25,154.69,standard,1,south,NA,west,18500,db,lt,mc,fw,NA,NA,NA,di,NA
122,13.5,10.25,138.38,budget,1,west,south,NA,15800,db,mt,pc,hw,NA,NA,NA,di,mr
123,11.25,11.25,126.56,standard,2,east,north,south,14000,sb,mt,mc,fw,NA,NA,NA,di,NA
124,12.75,12.5,159.38,standard,1,east,north,NA,14800,db,mt,pc,hw,NA,NA,NA,di,NA
125,14.5,14.5,210.25,standard,2,south,west,east,31000,db,mt,mc,ww,bb,NA,NA,di,NA
126,11.5,11.5,132.25,budget,1,north,south,NA,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
127,14,10,140,budget,1,west,NA,north,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
128,12.5,9,112.5,standard,2,east,north,west,19500,db,lt,mc,fw,NA,NA,NA,di,mr
129,13,10.5,136.5,luxury,2,north,south,east,44300,db,lt,pc,hw,bb,NA,dr,di,NA
130,11.25,9.25,104.06,luxury,1,east,south,NA,29500,db,mt,mc,NA,NA,NA,dr,di,NA
131,15,15,225,standard,2,north,south,east,18500,db,lt,mc,hw,NA,NA,NA,di,mr
132,14.25,13,185.25,standard,2,south,west,north,31500,sb,mt,mc,ww,wb,NA,NA,di,mr
133,10,9.25,92.5,standard,1,south,NA,west,18000,sb,mt,mc,hw,wb,NA,NA,di,mr
134,12.75,9.25,117.94,standard,1,east,north,NA,26000,db,lt,ac,fw,NA,NA,NA,di,mr
135,10.75,9.5,102.12,luxury,1,north,NA,west,46000,db,lt,mc,ww,NA,NA,dr,di,NA
136,10.75,9.75,104.81,budget,1,south,west,NA,28300,sb,mt,pc,ww,bb,NA,NA,di,mr
137,15,13.75,206.25,budget,2,north,south,east,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
138,14.5,12,174,standard,2,south,north,east,19500,db,mt,mc,fw,bb,NA,NA,di,mr
139,12.75,12,153,standard,2,east,north,west,37000,db,mt,ac,ww,NA,NA,NA,di,mr
140,11.25,10.75,120.94,budget,1,north,east,NA,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
141,14,13.5,189,luxury,2,west,north,east,57000,kb,lt,mc,ww,NA,NA,dr,di,NA
142,14.5,12.5,181.25,standard,2,north,east,west,34800,db,lt,pc,ww,wb,NA,NA,di,mr
143,12.5,10.25,128.12,standard,2,west,east,south,20000,db,lt,mc,fw,bb,NA,NA,di,NA
144,13.5,9.25,124.88,budget,1,south,west,NA,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
145,13.5,10.75,145.12,standard,2,west,north,east,20000,db,mt,mc,hw,wb,NA,NA,di,NA
146,13.75,10.5,144.38,budget,1,north,east,NA,14800,sb,lt,pc,hw,NA,NA,NA,di,mr
147,13.25,10,132.5,standard,2,south,west,east,30000,sb,lt,mc,ww,bb,NA,NA,di,mr
148,11.75,11.25,132.19,budget,1,north,south,NA,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
149,12.5,9.25,115.62,budget,1,south,NA,west,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
150,10.75,9.5,102.12,luxury,1,north,west,NA,46000,db,lt,mc,ww,NA,NA,dr,di,NA
151,11.25,9.75,109.69,standard,1,north,NA,south,31000,db,lt,mc,ww,NA,NA,NA,di,NA
152,15,9.75,146.25,budget,1,east,north,NA,11800,sb,mt,pc,hw,NA,NA,NA,di,NA
153,10.5,9.25,97.12,standard,1,west,NA,east,22000,sb,mt,ac,fw,bb,NA,NA,di,NA
154,12.5,10.75,134.38,luxury,2,south,west,east,52500,db,lt,ac,ww,NA,NA,dr,di,NA
155,11.75,11.25,132.19,budget,1,north,NA,south,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
156,15,15,225,budget,2,south,west,north,14800,db,mt,pc,NA,NA,NA,NA,di,mr
157,12.5,11.25,140.62,standard,2,south,west,east,15300,db,lt,pc,NA,NA,NA,NA,di,NA
158,14,13,182,budget,2,south,east,west,15000,sb,mt,mc,NA,wb,NA,NA,di,NA
159,10.25,10,102.5,standard,1,south,NA,east,26500,sb,mt,mc,ww,NA,NA,NA,di,NA
160,13,12,156,budget,1,west,east,NA,18300,db,lt,pc,hw,bb,NA,NA,di,NA
161,9.75,9.25,90.19,budget,1,east,NA,west,18800,db,mt,pc,fw,bb,NA,NA,di,mr
162,11.25,9.75,109.69,standard,1,east,north,NA,17800,db,lt,pc,hw,NA,NA,NA,di,mr
163,10,9,90,luxury,1,east,NA,south,43500,db,lt,ac,hw,wb,bt,NA,di,mr
164,12.25,10.5,128.62,standard,2,west,north,east,15800,sb,lt,pc,fw,NA,NA,NA,di,mr
165,12.25,9.75,119.44,budget,2,south,west,north,25800,sb,mt,pc,ww,NA,NA,NA,di,NA
166,11.25,10.75,120.94,budget,1,north,south,NA,14800,sb,mt,pc,fw,bb,NA,NA,di,NA
167,12.75,9.25,117.94,luxury,2,north,west,south,49000,db,lt,mc,hw,bb,bt,dr,di,NA
168,11,10,110,standard,2,west,south,east,17000,db,mt,mc,hw,bb,NA,NA,di,NA
169,14.75,14.25,210.19,luxury,2,south,west,north,34000,kb,lt,mc,fw,NA,bt,NA,di,mr
170,14.25,13.75,195.94,standard,2,south,east,west,28000,sb,lt,mc,ww,NA,NA,NA,di,NA
171,13.75,11,151.25,luxury,2,north,south,east,45500,db,lt,ac,ww,wb,bt,NA,di,NA
172,15,10.75,161.25,standard,2,south,east,north,10800,sb,mt,pc,NA,NA,NA,NA,di,NA
173,13,9.75,126.75,budget,2,north,west,south,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
174,13.75,13.75,189.06,standard,2,north,south,east,27000,db,lt,ac,fw,bb,NA,NA,di,mr
175,9.5,9,85.5,budget,1,east,NA,south,28500,sb,mt,mc,ww,bb,NA,NA,di,mr
176,12.75,9.5,121.12,standard,1,west,north,NA,20000,db,lt,mc,fw,bb,NA,NA,di,NA
177,9.75,9.75,95.06,budget,1,west,NA,east,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
178,13,11,143,budget,1,east,south,NA,31800,db,lt,pc,ww,bb,NA,NA,di,NA
179,14.5,10.75,155.88,standard,2,east,south,north,19500,db,lt,mc,fw,NA,NA,NA,di,mr
180,13,12.25,159.25,budget,1,east,west,NA,27800,sb,mt,pc,ww,bb,NA,NA,di,mr
181,13.5,9.25,124.88,budget,1,west,NA,north,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
182,11.75,10,117.5,budget,1,west,north,NA,20300,db,lt,pc,fw,bb,NA,NA,di,mr
183,14.25,12.25,174.56,budget,2,south,west,east,11300,sb,mt,pc,NA,NA,NA,NA,di,mr
184,13.25,12,159,standard,2,south,east,north,26000,db,mt,ac,NA,wb,NA,NA,di,mr
185,12.5,10.25,128.12,standard,2,west,south,east,30000,sb,mt,mc,ww,wb,NA,NA,di,NA
186,13.75,9.5,130.62,budget,1,north,east,NA,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
187,12,9.5,114,standard,2,east,west,north,19300,db,lt,pc,NA,wb,NA,NA,di,NA
188,10.5,9,94.5,luxury,1,north,east,NA,55500,db,lt,ac,hw,bb,bt,dr,di,NA
189,14.5,9.5,137.75,standard,2,west,south,north,16300,db,lt,pc,hw,NA,NA,NA,di,NA
190,12.5,12,150,budget,1,north,east,NA,19000,sb,lt,mc,hw,wb,NA,NA,di,mr
191,14.5,9.25,134.12,budget,1,north,NA,south,17300,db,mt,pc,fw,NA,NA,NA,di,mr
192,15,14.5,217.5,budget,2,north,south,west,11300,sb,mt,pc,NA,NA,NA,NA,di,mr
193,12.5,11.75,146.88,budget,1,south,NA,north,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
194,15,11.75,176.25,standard,2,north,south,west,21000,db,lt,mc,hw,wb,NA,NA,di,NA
195,13,12,156,luxury,2,south,north,west,59000,db,mt,ac,ww,wb,bt,dr,di,NA
196,14.75,11,162.25,budget,2,east,west,south,14800,sb,lt,pc,hw,NA,NA,NA,di,mr
197,13.25,11,145.75,standard,2,east,south,north,33800,db,mt,pc,ww,wb,NA,NA,di,mr
198,14.25,11,156.75,budget,1,east,north,NA,13300,sb,mt,pc,hw,bb,NA,NA,di,NA
199,14.5,12.75,184.88,budget,2,west,east,north,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
200,12.5,9.25,115.62,standard,1,north,south,NA,16800,db,lt,pc,NA,bb,NA,NA,di,NA
201,12.5,11.5,143.75,budget,1,south,NA,east,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
202,13.25,11.5,152.38,budget,1,west,east,NA,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
203,11.5,9,103.5,standard,1,south,NA,west,18000,db,lt,mc,hw,NA,NA,NA,di,mr
204,11,9,99,standard,1,north,east,NA,16300,db,mt,pc,fw,NA,NA,NA,di,NA
205,14.75,12.75,188.06,luxury,2,south,east,west,45500,kb,mt,mc,ww,NA,bt,NA,di,mr
206,10.25,9.25,94.81,budget,1,north,south,NA,19500,db,mt,mc,fw,bb,NA,NA,di,mr
207,14.25,13.5,192.38,standard,2,east,south,north,16500,db,lt,mc,NA,NA,NA,NA,di,mr
208,11.5,10,115,standard,1,south,east,NA,26500,sb,mt,mc,ww,NA,NA,NA,di,NA
209,13,9.5,123.5,budget,2,east,west,south,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
210,13.75,10.5,144.38,budget,1,east,north,NA,15800,sb,mt,pc,NA,wb,NA,NA,di,mr
211,12.75,10.25,130.69,luxury,2,north,south,east,35000,db,lt,mc,NA,NA,bt,dr,di,NA
212,14.5,14,203,standard,2,west,south,east,18000,db,lt,mc,fw,NA,NA,NA,di,NA
213,13.5,13,175.5,standard,2,north,south,east,17500,db,mt,mc,fw,NA,NA,NA,di,mr
214,12.75,12.25,156.19,standard,1,south,east,NA,23000,db,lt,mc,fw,wb,NA,NA,di,mr
215,14.25,12.5,178.12,luxury,2,west,south,east,52500,kb,lt,ac,NA,wb,NA,dr,di,NA
216,10.75,9.5,102.12,budget,1,east,north,NA,16500,sb,lt,mc,hw,bb,NA,NA,di,mr
217,9.75,9.5,92.62,budget,1,west,NA,north,26300,sb,mt,pc,ww,NA,NA,NA,di,mr
218,11,9.5,104.5,budget,1,west,east,NA,16000,sb,lt,mc,fw,NA,NA,NA,di,mr
219,14,10.75,150.5,luxury,2,west,east,south,41000,db,lt,ac,NA,NA,bt,dr,di,NA
220,12.25,9.25,113.31,budget,1,west,east,NA,12300,sb,mt,pc,NA,bb,NA,NA,di,NA
221,10.5,10.25,107.62,budget,1,north,NA,east,33800,db,mt,pc,ww,wb,NA,NA,di,mr
222,15,10.5,157.5,luxury,2,east,west,south,39000,db,lt,mc,fw,bb,bt,dr,di,NA
223,12.75,11.5,146.62,luxury,1,north,NA,south,37500,db,lt,ac,NA,NA,NA,dr,di,NA
224,14.25,9.5,135.38,standard,2,east,west,north,23000,db,mt,ac,fw,NA,NA,NA,di,NA
225,14,9.5,133,luxury,2,south,east,north,31000,db,lt,mc,NA,NA,bt,NA,di,NA
226,12,9.75,117,budget,1,east,north,NA,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
227,13.75,12,165,luxury,2,east,west,north,43800,kb,mt,pc,fw,bb,NA,dr,di,NA
228,10,9.5,95,standard,1,east,west,NA,18500,db,lt,mc,fw,NA,NA,NA,di,NA
229,14,13.25,185.5,luxury,2,south,north,west,23500,db,lt,mc,NA,wb,bt,NA,di,NA
230,13.75,11.5,158.12,standard,1,north,east,NA,17000,db,mt,mc,hw,NA,NA,NA,di,mr
231,15,10.75,161.25,budget,2,south,north,east,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
232,14,13.25,185.5,standard,2,north,west,east,16500,sb,mt,mc,fw,bb,NA,NA,di,mr
233,12,11.25,135,standard,2,east,west,north,20500,db,lt,mc,fw,bb,NA,NA,di,mr
234,14.5,10.5,152.25,standard,1,west,east,NA,17000,db,lt,mc,NA,NA,NA,NA,di,mr
235,12,10.25,123,standard,1,east,NA,west,29000,sb,lt,mc,ww,NA,NA,NA,di,mr
236,11.5,11.25,129.38,standard,2,west,south,east,36000,db,lt,mc,ww,wb,NA,NA,di,mr
237,13,11.25,146.25,budget,2,west,south,east,17800,db,mt,pc,hw,bb,NA,NA,di,mr
238,12.5,11.5,143.75,budget,1,west,south,NA,16300,db,mt,pc,hw,bb,NA,NA,di,NA
239,14,11.25,157.5,budget,1,east,NA,west,19000,db,mt,mc,fw,bb,NA,NA,di,mr
240,14.5,13,188.5,luxury,2,north,south,east,39500,db,mt,ac,ww,NA,bt,NA,di,NA
241,13,12,156,standard,2,east,south,north,17800,db,lt,pc,fw,NA,NA,NA,di,NA
242,14,11.5,161,luxury,2,south,east,west,30300,db,lt,pc,ww,NA,NA,NA,di,NA
243,12.75,11.25,143.44,standard,1,east,NA,west,19500,db,mt,mc,NA,wb,NA,NA,di,mr
244,12,11,132,standard,1,west,south,NA,18000,db,mt,mc,fw,NA,NA,NA,di,mr
245,11,10.5,115.5,standard,2,north,east,west,20000,db,lt,mc,fw,bb,NA,NA,di,NA
246,11.75,10,117.5,budget,2,south,north,west,18800,db,mt,pc,fw,bb,NA,NA,di,mr
247,13.75,11,151.25,luxury,2,south,west,north,30000,db,mt,ac,NA,wb,bt,NA,di,mr
248,12.5,12,150,budget,2,south,north,east,17300,db,mt,pc,fw,bb,NA,NA,di,NA
249,13.25,13,172.25,standard,2,west,north,south,33000,db,mt,mc,ww,wb,NA,NA,di,NA
250,11,9.75,107.25,budget,1,north,east,NA,15800,sb,mt,pc,NA,wb,NA,NA,di,mr
251,11.5,10.5,120.75,standard,2,west,north,south,17800,db,lt,pc,NA,bb,NA,NA,di,mr
252,12,11,132,standard,1,west,north,NA,17000,db,mt,mc,fw,NA,NA,NA,di,NA
253,11.25,9.5,106.88,standard,1,north,NA,east,16800,db,mt,pc,hw,bb,NA,NA,di,NA
254,15,15,225,standard,2,south,east,west,18000,db,mt,mc,fw,bb,NA,NA,di,NA
255,11.25,10.75,120.94,budget,2,east,north,south,27500,sb,mt,mc,ww,NA,NA,NA,di,mr
256,12.75,11.5,146.62,standard,1,west,east,NA,16500,sb,lt,mc,fw,NA,NA,NA,di,mr
257,12.25,12.25,150.06,standard,1,north,NA,east,22500,db,lt,mc,fw,wb,NA,NA,di,NA
258,11,9.75,107.25,standard,1,east,north,NA,18500,db,mt,mc,NA,wb,NA,NA,di,NA
259,15,10.25,153.75,budget,1,west,NA,north,17000,db,mt,mc,hw,NA,NA,NA,di,mr
260,11.75,11.75,138.06,budget,1,east,north,NA,26800,sb,mt,pc,ww,NA,NA,NA,di,mr
261,13.75,13.75,189.06,budget,2,west,north,south,18800,db,mt,pc,fw,bb,NA,NA,di,mr
262,13,10.75,139.75,luxury,1,south,east,NA,31500,db,mt,ac,hw,wb,bt,NA,di,mr
